ip,description,category
2400:cb00::/32,cloudflare-v6,CloudFlare
2606:4700::/32,cloudflare-v6,CloudFlare
2803:f800::/32,cloudflare-v6,CloudFlare
2405:b500::/32,cloudflare-v6,CloudFlare
2405:8100::/32,cloudflare-v6,CloudFlare
2a06:98c0::/29,cloudflare-v6,CloudFlare
2c0f:f248::/32,cloudflare-v6,CloudFlare
